variant,model,rep,wall_batch_s,sampler_s_per_chain,warmup_s,sampling_s,n_leapfrog_total,n_leapfrog_sampling,divergences,div_rate,treedepth_hits,td_rate,accept_mean,ess_bulk_min,ess_bulk_geomean,ess_tail_min,rhat_max,ess_per_sec,ess_per_grad
default,lotka_volterra,1.0,5.517,5.2385,2.82475,2.537,130644.0,65272.0,0.0,0.0,0.0,0.0,0.9335382775250001,882.308675,2952.055271,1241.122889,1.008847,159.92544408192856,0.006225563743927284
default,low_dim_gauss_mix,1.0,3.002,2.88175,1.5655,1.3162500000000001,25596.0,12738.0,0.0,0.0,0.0,0.0,0.9122823439100001,3926.537063,4594.113437,2501.267642,1.001237,1307.9737051965358,0.1610775332473824
default,lsat_model,1.0,8.394,7.5367500000000005,4.58925,2.9475000000000002,60000.0,30000.0,0.0,0.0,0.0,0.0,0.8521008515549999,1075.589705,5221.999996,1864.632415,1.006494,123.13010343295191,0.017926495083333334
default,pilots,1.0,1.268,0.9722500000000001,0.423,0.5519999999999999,1177575.0,593666.0,455.0,0.11375,451.0,0.11275,0.8112416117004788,40.371816,1157.17754,49.381808,1.095654,41.620428865979385,3.793694687562842e-05
default,radon_partially_pooled_noncentered,1.0,29.635,27.428250000000002,21.15125,6.277,61776.0,30816.0,0.0,0.0,0.0,0.0,0.8922070360500001,309.473455,4486.403317,690.880871,1.02016,10.442836342162982,0.004997956314599483
default,radon_variable_intercept_slope_noncentered,1.0,3.131,2.6999999999999997,1.6632500000000001,1.063,84944.0,42704.0,0.0,0.0,0.0,0.0,0.8683690479146999,767.545958,4419.8252,1127.954136,1.00661,248.9607388906909,0.009138369635947942
default,wells_dist100_model,1.0,0.709,0.668,0.3265,0.3415,23228.0,11552.0,0.0,0.0,0.0,0.0,0.9271204856599999,1233.833859,1237.743363,1431.655478,1.002963,1728.0630710144928,0.053982930477773895
nutpie,accel_gp,1.0,21.711,0.0,,,6778228.0,6778228.0,372.0,0.093,56.0,0.014,,726.75752,2548.752254,661.645685,1.00537,33.138366695545116,0.000107544081148735
nutpie,arma11,1.0,0.196,0.0,,,51832.0,51832.0,0.0,0.0,0.0,0.0,,4934.286154,5511.141057,3070.255667,1.002721,26671.817048648652,0.09328278421808833
nutpie,blr,1.0,0.106,0.0,,,89736.0,89736.0,0.0,0.0,0.0,0.0,,685.964834,879.854242,1230.361437,1.004346,6749.797811320755,0.007634045962428775
nutpie,bym2_offset_only,1.0,34.445,0.0,,,1008768.0,1008768.0,0.0,0.0,0.0,0.0,,434.752534,4466.039413,624.898379,1.015625,12.621644186384092,0.0004309737561064586
nutpie,diamonds,1.0,20.368,0.0,,,3913728.0,3913728.0,0.0,0.0,20.0,0.005,,414.025939,2408.02298,614.269739,1.008568,20.085264823274827,0.00010574316415827585
nutpie,dogs_hierarchical,1.0,0.698,0.0,,,52192.0,52192.0,0.0,0.0,0.0,0.0,,2250.183264,3928.140163,2329.34808,1.002436,3223.758257879656,0.043113566523605144
nutpie,eight_schools_centered,1.0,0.065,0.0,,,192360.0,192360.0,40.0,0.01,0.0,0.0,,192.309132,609.523439,140.620206,1.01621,2503.7013928571428,0.0008668039838765518
nutpie,eight_schools_noncentered,1.0,0.082,0.0,,,105744.0,105744.0,4.0,0.001,0.0,0.0,,2251.497012,4857.025387,1779.971713,1.002635,26163.922987804875,0.02144475340444848
nutpie,garch11,1.0,0.529,0.0,,,103280.0,103280.0,0.0,0.0,0.0,0.0,,1464.401874,1900.973439,1664.283369,1.001832,2510.392485822306,0.014034365885915816
nutpie,gp_regr,1.0,0.086,0.0,,,46600.0,46600.0,0.0,0.0,0.0,0.0,,5273.259089,5630.887413,2929.25358,1.001607,66750.11505063291,0.1129854964218375
nutpie,hier_2pl,1.0,32.203,0.0,,,240000.0,240000.0,0.0,0.0,0.0,0.0,,865.087711,4883.563945,933.37474,1.007366,27.126390235489637,0.0036045321291666666
nutpie,kidscore_momiq,1.0,0.271,0.0,,,171392.0,171392.0,0.0,0.0,0.0,0.0,,537.348298,844.697371,777.573454,1.005445,1884.19221402214,0.003135200581123973
nutpie,kronecker_gp,1.0,468.203,0.0,,,4587476.0,4587476.0,32.0,0.008,0.0,0.0,,407.499793,2035.153794,896.158444,1.011161,0.9378496677723126,8.674225718020105e-05
nutpie,logmesquite_logvash,1.0,0.213,0.0,,,340984.0,340984.0,0.0,0.0,0.0,0.0,,717.917999,1321.174182,927.18656,1.005453,3370.5070375586856,0.002105430163878657
nutpie,lotka_volterra,1.0,4.324,0.0,,,262304.0,262304.0,0.0,0.0,0.0,0.0,,578.261371,2568.390276,661.315283,1.007764,133.73297201665127,0.002280929989744399
nutpie,low_dim_gauss_mix,1.0,2.411,0.0,,,67760.0,67760.0,0.0,0.0,0.0,0.0,,2608.949141,4693.367457,2950.895975,1.001498,1135.1935512820512,0.03850279133707202
nutpie,lsat_model,1.0,8.398,0.0,,,240000.0,240000.0,0.0,0.0,0.0,0.0,,1020.726975,7088.462259,1703.758696,1.007421,111.20138490613583,0.0042530290625
nutpie,pilots,1.0,0.262,0.0,,,554904.0,554904.0,1180.0,0.295,52.0,0.013,,19.237753,192.188727,26.360744,1.38184,75.14747265625,3.4668614751380424e-05
nutpie,radon_partially_pooled_noncentered,1.0,22.143,0.0,,,239904.0,239904.0,0.0,0.0,0.0,0.0,,616.790212,7821.51319,1170.612207,1.007918,25.939421675477835,0.0025716736657771847
nutpie,radon_variable_intercept_slope_noncentered,1.0,3.03,0.0,,,232320.0,232320.0,0.0,0.0,0.0,0.0,,708.927405,5990.9565,769.599759,1.008739,249.09606640899509,0.003042815837139031
nutpie,wells_dist100_model,1.0,0.54,0.0,,,61904.0,61904.0,0.0,0.0,0.0,0.0,,1165.451662,1168.128649,1480.024352,1.002548,2122.862772313297,0.018826758561643835
oexp,arma11,1.0,0.132,0.10625000000000001,0.055999999999999994,0.05025,22144.0,11072.0,0.0,0.0,0.0,0.0,0.9162936734975,3763.904421,4008.001541,2717.868252,1.002435,25364.098075757574,0.17613029578848854
oexp,blr,1.0,0.047,0.036750000000000005,0.017,0.02,57704.0,29118.0,0.0,0.0,0.0,0.0,0.90297423385,907.025381,1505.205787,1105.801018,1.002909,19588.695680851062,0.015738464511607233
oexp,diamonds,1.0,67.117,62.355,24.646500000000003,37.7085,3954784.0,1977904.0,0.0,0.0,3486.0,0.8715,0.944862981205,1306.170482,3348.948147,1858.685116,1.002777,20.19528552653957,0.00032518205876612253
oexp,dogs_hierarchical,1.0,0.89,0.7855000000000001,0.29825,0.48725,18056.0,9022.0,0.0,0.0,0.0,0.0,0.9243852590449999,1456.314421,3921.186619,1599.891932,1.003205,1608.0852675709,0.0752383974478198
oexp,eight_schools_centered,1.0,0.059,0.04525,0.0245,0.02,61427.0,31002.0,118.0,0.0295,0.0,0.0,0.757417692926684,54.501414,618.770128,23.858413,1.058832,923.7527796610169,0.000839025431817482
oexp,garch11,1.0,0.356,0.33925,0.16925,0.15275,43172.0,21750.0,0.0,0.0,0.0,0.0,0.9200754204880001,1754.904708,2014.352743,1838.081346,1.002933,4704.11361516854,0.04120848889306345
oexp,gp_regr,1.0,0.08,0.059,0.027749999999999997,0.03125,17786.0,8902.0,0.0,0.0,0.0,0.0,0.90863863754,3504.938025,3968.272959,2796.864824,1.000883,43539.844125,0.19706162290565613
oexp,hier_2pl,1.0,53.999,48.59425,22.975,25.61925,119792.0,59760.0,0.0,0.0,0.0,0.0,0.8709275326275,1946.544531,6373.998278,1863.75691,1.007223,35.765632172714746,0.01577324428724232
oexp,kidscore_momiq,1.0,0.32,0.27949999999999997,0.16625,0.11399999999999999,101540.0,50598.0,0.0,0.0,0.0,0.0,0.9363830546974999,1256.05895,1403.501548,1194.747439,1.002969,3661.97944606414,0.012370090112271028
oexp,kronecker_gp,1.0,734.856,703.08125,346.89025,350.54225,4086319.0,2042011.0,12.0,0.003,3988.0,0.997,0.82948422997275,439.783719,1092.965425,885.188497,1.018523,0.6026980431437776,0.00010760240320930299
oexp,logmesquite_logvash,1.0,0.481,0.4415,0.202,0.2405,194318.0,97316.0,0.0,0.0,0.0,0.0,0.93449689853,1461.818349,1901.915472,1571.3647,1.00429,3039.1233866943867,0.007522814916785887
oexp,lotka_volterra,1.0,5.174,4.8035,2.46725,2.34925,137400.0,68496.0,0.0,0.0,0.0,0.0,0.9287290002099999,1045.235379,3089.667348,1333.921164,1.003389,204.8677732261858,0.007817064878245782
oexp,low_dim_gauss_mix,1.0,3.013,2.91775,1.5685,1.34925,25596.0,12738.0,0.0,0.0,0.0,0.0,0.9122823439100001,3926.537063,4594.113437,2501.267642,1.001237,1301.844187243448,0.1610775332473824
oexp,lsat_model,1.0,6.546,6.41525,3.9115,2.49375,60000.0,30000.0,0.0,0.0,0.0,0.0,0.8521008515549999,1075.589705,5221.999996,1864.632415,1.006494,165.44988540224583,0.017926495083333334
oexp,pilots,1.0,1.464,1.0437500000000002,0.43500000000000005,0.5675,1177575.0,593666.0,455.0,0.11375,451.0,0.11275,0.8112416117004788,40.371816,1157.17754,49.381808,1.095654,20.951728825136612,3.793694687562842e-05
oexp,radon_partially_pooled_noncentered,1.0,28.222,26.354749999999996,20.25425,6.100499999999999,61424.0,30720.0,0.0,0.0,0.0,0.0,0.8866744925724999,300.483275,4335.189577,608.009194,1.007677,9.714596414144994,0.004788425468510963
oexp,radon_variable_intercept_slope_noncentered,1.0,2.714,2.3565,1.3775000000000002,0.9910000000000001,94544.0,47024.0,0.0,0.0,0.0,0.0,0.9023722634474999,700.300602,5182.647985,1247.883928,1.005379,245.38046573323507,0.007043943391436791
pf_full,accel_gp,1.0,31.344,29.694249999999997,12.664000000000001,17.12625,3540319.0,0.0,43.0,0.01075,2603.0,0.65075,0.9336536816456446,1604.404277,4484.790783,894.536322,1.00522,51.18696646886166,0.00044473366694737336
pf_full,bym2_offset_only,1.0,57.969,45.390249999999995,28.4945,16.89575,252000.0,0.0,0.0,0.0,0.0,0.0,0.8618903497849999,346.134795,4694.00542,719.890974,1.008969,5.998246196236093,0.0013735507738095237
pf_full,diamonds,1.0,89.723,85.6765,34.88875,51.3755,3847776.0,0.0,0.0,0.0,3122.0,0.7805,0.9372510695675,1478.119219,3460.032199,2056.566709,1.003411,15.827890595050702,0.00038414897826692613
pf_full,eight_schools_centered,1.0,0.211,0.0495,0.02425,0.02675,90964.0,0.0,41.0,0.01025,0.0,0.0,0.8498054286900639,156.929137,548.153238,113.915223,1.037738,691.3177841409691,0.0023581401103733345
pf_full,hier_2pl,1.0,155.879,97.09549999999999,48.53075,48.564750000000004,120512.0,0.0,0.0,0.0,0.0,0.0,0.8610354220549999,2024.819315,6651.334148,1797.445522,1.006668,12.495751172383708,0.016801806583576738
pf_full,kronecker_gp,1.0,739.987,759.34775,371.04825,388.2995,4080823.0,0.0,18.0,0.0045,3982.0,0.9955,0.78709902542,679.515399,1557.367868,930.96551,1.008529,0.9458641118474624,0.00016651430336478694
pf_full,lotka_volterra,1.0,5.948,5.3845,2.67675,2.7345,137834.0,0.0,0.0,0.0,0.0,0.0,0.9262800684225,1134.823161,3066.818839,1553.029451,1.00377,195.63725975117686,0.008233260015671024
pf_full,lsat_model,1.0,12.746,10.2685,6.26425,3.9775,60000.0,0.0,0.0,0.0,0.0,0.0,0.84739700335,892.681978,5246.976794,1636.291983,1.007877,70.03624493958888,0.014878032966666666
pf_full,pilots,1.0,1.701,1.1425,0.45725,0.66025,1275850.0,0.0,871.0,0.21775,704.0,0.176,0.6800955911048794,11.749429,137.192713,27.596862,1.324412,6.560261864879955,9.20909903201787e-06
pf_full,radon_partially_pooled_noncentered,1.0,50.805,40.720749999999995,31.63975,9.003,60000.0,0.0,0.0,0.0,0.0,0.0,0.8749936255075,387.850982,5278.043922,765.496781,1.011814,7.634110461568743,0.006464183033333333
pf_w200,accel_gp,1.0,21.169,18.985,2.517,16.468,3401364.0,0.0,55.0,0.01375,1990.0,0.4975,0.9259825529952505,1576.191836,3887.032635,913.512049,1.004752,74.45754811280646,0.0004872136516409299
pf_w200,bym2_offset_only,1.0,47.176,33.4755,16.18775,17.31475,252000.0,0.0,0.0,0.0,0.0,0.0,0.86192403926,240.501997,4449.547884,484.750252,1.013964,5.104386109627097,0.0009543730039682539
pf_w200,diamonds,1.0,48.976,44.43875,5.4807500000000005,38.584,2867808.0,0.0,0.0,0.0,905.0,0.22625,0.9395904340875,712.756651,2686.46768,1137.320234,1.006733,15.062482058326289,0.0002501448215328549
pf_w200,eight_schools_centered,1.0,0.188,0.0345,0.01025,0.0235,66901.0,0.0,63.0,0.01575,0.0,0.0,0.8086535824921818,170.286837,806.479241,169.001167,1.017299,860.0345303030302,0.0019391355435643713
pf_w200,hier_2pl,1.0,123.486,69.155,14.272,54.840500000000006,124032.0,0.0,0.0,0.0,0.0,0.0,0.8755915048675,1763.19212,6249.912366,1761.472756,1.009267,14.278477884132613,0.014191823245331615
pf_w200,kronecker_gp,1.0,445.908,458.56575000000004,71.59125,386.9745,4084600.0,0.0,14.0,0.0035,3986.0,0.9965,0.79696362339275,239.293305,1183.14523,263.088198,1.027821,0.5366427716031109,5.8601930170895654e-05
pf_w200,lotka_volterra,1.0,4.29,3.34125,0.64925,2.692,131836.0,0.0,0.0,0.0,0.0,0.0,0.92333592967,936.583813,3015.667926,1372.398763,1.006058,221.9773998355714,0.007104158295154586
pf_w200,lsat_model,1.0,9.378,6.7025,2.734,3.9685,60688.0,0.0,0.0,0.0,0.0,0.0,0.8598259052474999,1009.667144,4525.467584,1588.503807,1.006491,107.6633764128812,0.016637014632217242
pf_w200,pilots,1.0,1.193,0.49374999999999997,0.08825000000000001,0.38825,710016.0,0.0,796.0,0.199,289.0,0.07225,0.7085048932715123,8.971769,65.475851,37.180543,1.377486,7.520342833193629,1.2636009611051019e-05
pf_w200,radon_partially_pooled_noncentered,1.0,46.238,34.26075,23.061500000000002,11.19925,80160.0,0.0,0.0,0.0,0.0,0.0,0.8892489906475001,451.545763,5244.669319,841.661102,1.007911,9.067183995983937,0.005704772805971843
w10_auto05,arma11,1.0,0.138,0.118092775,0.06316440000000001,0.054928374999999995,59211.0,28607.0,-4.0,-0.001,-4.0,-0.001,,923.165088,2045.731571,1496.577894,1.003418,6455.699916083917,0.015591107868470386
w10_auto05,blr,1.0,0.228,0.14127035,0.080574425,0.0611875,377345.0,178864.0,-4.0,-0.001,-4.0,-0.001,,722.952155,2457.474459,800.255318,1.005236,3286.2124678111586,0.0019158917038784135
w10_auto05,bym2_offset_only,1.0,113.217,106.75054999999999,91.07305,15.6775,884554.0,407018.0,-4.0,-0.001,-4.0,-0.001,,123.671045,3599.014013,246.037063,1.030893,1.0923363540811009,0.00013981175258944055
w10_auto05,diamonds,1.0,7.081,6.91,3.736285,3.1737150000000005,730749.0,340849.0,-4.0,-0.001,-4.0,-0.001,,7.511508,591.149276,23.244499,1.502114,1.0610973301313746,1.1366732811277859e-05
w10_auto05,dogs_hierarchical,1.0,1.029,0.7079865,0.36334325,0.35579,52195.0,25043.0,-4.0,-0.001,-4.0,-0.001,,1533.819002,3920.382079,1727.392597,1.002446,1571.5297191448008,0.030981973005077115
w10_auto05,eight_schools_centered,1.0,0.072,0.054129800000000006,0.03846445,0.01557465,168696.0,81765.0,-4.0,-0.001,-4.0,-0.001,,76.326395,331.445665,67.014551,1.042401,1031.4377702702704,0.00045244934675392424
